STT,Dạng,Nguồn,STT câu gốc,Loại số,Đề bài,Đáp án đúng,Lời giải,Nhận xét,Ghi chú kiểm tra
204,Dạng 2 - Biểu diễn hình học,Nhân bản,63,Số vô tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z=4 \sqrt{5}-3 \sqrt{2}i$ có tọa độ là

A. $(- 4 \sqrt{5};- 3 \sqrt{2})$.
B. $(- 3 \sqrt{2};4 \sqrt{5})$.
C. $(4 \sqrt{5};- 3 \sqrt{2})$.
D. $(4 \sqrt{5};3 \sqrt{2})$.",C. $(4 \sqrt{5};- 3 \sqrt{2})$.,Điểm biểu diễn số phức $z=4 \sqrt{5}-3 \sqrt{2}i$ có tọa độ là $(4 \sqrt{5};- 3 \sqrt{2})$.,Đạt,
205,Dạng 2 - Biểu diễn hình học,Nhân bản,24,Số nguyên,"Trên mặt phẳng tọa độ, biết $(-6;4)$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $4$.
B. $6$.
C. $-4$.
D. $-6$.",D. $-6$.,"Ta có $(-6;4)$ là điểm biểu diễn số phức $z=-6+4i$. Do đó, phần thực của $z$ là $-6$.",Đạt,
206,Dạng 2 - Biểu diễn hình học,Nhân bản,24,Số nguyên,"Trên mặt phẳng tọa độ, biết $(-8;1)$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $1$.
B. $8$.
C. $-1$.
D. $-8$.",D. $-8$.,"Ta có $(-8;1)$ là điểm biểu diễn số phức $z=-8+i$. Do đó, phần thực của $z$ là $-8$.",Đạt,
207,Dạng 2 - Biểu diễn hình học,Nhân bản,24,Số nguyên,"Trên mặt phẳng tọa độ, biết $(7;-9)$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $-9$.
B. $-7$.
C. $9$.
D. $7$.",D. $7$.,"Ta có $(7;-9)$ là điểm biểu diễn số phức $z=7-9i$. Do đó, phần thực của $z$ là $7$.",Đạt,
208,Dạng 2 - Biểu diễn hình học,Nhân bản,24,Số nguyên,"Trên mặt phẳng tọa độ, biết $(-9;-3)$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $-3$.
B. $9$.
C. $3$.
D. $-9$.",D. $-9$.,"Ta có $(-9;-3)$ là điểm biểu diễn số phức $z=-9-3i$. Do đó, phần thực của $z$ là $-9$.",Đạt,
209,Dạng 2 - Biểu diễn hình học,Nhân bản,24,Số hữu tỉ,"Trên mặt phẳng tọa độ, biết $(\dfrac{10}{3};\dfrac{1}{5})$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $\dfrac{1}{5}$.
B. $- \dfrac{10}{3}$.
C. $- \dfrac{1}{5}$.
D. $\dfrac{10}{3}$.",D. $\dfrac{10}{3}$.,"Ta có $(\dfrac{10}{3};\dfrac{1}{5})$ là điểm biểu diễn số phức $z=\dfrac{10}{3}+\dfrac{1}{5}i$. Do đó, phần thực của $z$ là $\dfrac{10}{3}$.",Đạt,
210,Dạng 2 - Biểu diễn hình học,Nhân bản,24,Số hữu tỉ,"Trên mặt phẳng tọa độ, biết $(\dfrac{5}{4};\dfrac{3}{5})$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $\dfrac{3}{5}$.
B. $- \dfrac{5}{4}$.
C. $- \dfrac{3}{5}$.
D. $\dfrac{5}{4}$.",D. $\dfrac{5}{4}$.,"Ta có $(\dfrac{5}{4};\dfrac{3}{5})$ là điểm biểu diễn số phức $z=\dfrac{5}{4}+\dfrac{3}{5}i$. Do đó, phần thực của $z$ là $\dfrac{5}{4}$.",Đạt,
211,Dạng 2 - Biểu diễn hình học,Nhân bản,24,Số hữu tỉ,"Trên mặt phẳng tọa độ, biết $(\dfrac{4}{5};- \dfrac{9}{5})$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $- \dfrac{9}{5}$.
B. $- \dfrac{4}{5}$.
C. $\dfrac{9}{5}$.
D. $\dfrac{4}{5}$.",D. $\dfrac{4}{5}$.,"Ta có $(\dfrac{4}{5};- \dfrac{9}{5})$ là điểm biểu diễn số phức $z=\dfrac{4}{5}-\dfrac{9}{5}i$. Do đó, phần thực của $z$ là $\dfrac{4}{5}$.",Đạt,
212,Dạng 2 - Biểu diễn hình học,Nhân bản,24,Số hữu tỉ,"Trên mặt phẳng tọa độ, biết $(- \dfrac{1}{2};\dfrac{9}{2})$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $\dfrac{9}{2}$.
B. $\dfrac{1}{2}$.
C. $- \dfrac{9}{2}$.
D. $- \dfrac{1}{2}$.",D. $- \dfrac{1}{2}$.,"Ta có $(- \dfrac{1}{2};\dfrac{9}{2})$ là điểm biểu diễn số phức $z=- \dfrac{1}{2}+\dfrac{9}{2}i$. Do đó, phần thực của $z$ là $- \dfrac{1}{2}$.",Đạt,
213,Dạng 2 - Biểu diễn hình học,Nhân bản,24,Số vô tỉ,"Trên mặt phẳng tọa độ, biết $(2 \sqrt{10};2 \sqrt{2})$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $2 \sqrt{2}$.
B. $- 2 \sqrt{10}$.
C. $- 2 \sqrt{2}$.
D. $2 \sqrt{10}$.",D. $2 \sqrt{10}$.,"Ta có $(2 \sqrt{10};2 \sqrt{2})$ là điểm biểu diễn số phức $z=2 \sqrt{10}+2 \sqrt{2}i$. Do đó, phần thực của $z$ là $2 \sqrt{10}$.",Đạt,
214,Dạng 2 - Biểu diễn hình học,Nhân bản,24,Số vô tỉ,"Trên mặt phẳng tọa độ, biết $(\sqrt{7};- 3 \sqrt{3})$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $- 3 \sqrt{3}$.
B. $- \sqrt{7}$.
C. $3 \sqrt{3}$.
D. $\sqrt{7}$.",D. $\sqrt{7}$.,"Ta có $(\sqrt{7};- 3 \sqrt{3})$ là điểm biểu diễn số phức $z=\sqrt{7}-3 \sqrt{3}i$. Do đó, phần thực của $z$ là $\sqrt{7}$.",Đạt,
215,Dạng 2 - Biểu diễn hình học,Nhân bản,24,Số vô tỉ,"Trên mặt phẳng tọa độ, biết $(-7;- 4 \sqrt{7})$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $- 4 \sqrt{7}$.
B. $7$.
C. $4 \sqrt{7}$.
D. $-7$.",D. $-7$.,"Ta có $(-7;- 4 \sqrt{7})$ là điểm biểu diễn số phức $z=-7-4 \sqrt{7}i$. Do đó, phần thực của $z$ là $-7$.",Đạt,
216,Dạng 2 - Biểu diễn hình học,Nhân bản,24,Số vô tỉ,"Trên mặt phẳng tọa độ, biết $(7;- \sqrt{5})$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $- \sqrt{5}$.
B. $-7$.
C. $\sqrt{5}$.
D. $7$.",D. $7$.,"Ta có $(7;- \sqrt{5})$ là điểm biểu diễn số phức $z=7-\sqrt{5}i$. Do đó, phần thực của $z$ là $7$.",Đạt,
217,Dạng 2 - Biểu diễn hình học,Nhân bản,47,Số nguyên,"Trên mặt phẳng tọa độ, biết $(-5;-9)$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $-9$.
B. $5$.
C. $9$.
D. $-5$.",D. $-5$.,"Ta có $(-5;-9)$ là điểm biểu diễn số phức $z=-5-9i$. Do đó, phần thực của $z$ là $-5$.",Đạt,
218,Dạng 2 - Biểu diễn hình học,Nhân bản,47,Số nguyên,"Trên mặt phẳng tọa độ, biết $(5;-7)$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $-7$.
B. $-5$.
C. $7$.
D. $5$.",D. $5$.,"Ta có $(5;-7)$ là điểm biểu diễn số phức $z=5-7i$. Do đó, phần thực của $z$ là $5$.",Đạt,
219,Dạng 2 - Biểu diễn hình học,Nhân bản,47,Số nguyên,"Trên mặt phẳng tọa độ, biết $(7;2)$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $2$.
B. $-7$.
C. $-2$.
D. $7$.",D. $7$.,"Ta có $(7;2)$ là điểm biểu diễn số phức $z=7+2i$. Do đó, phần thực của $z$ là $7$.",Đạt,
220,Dạng 2 - Biểu diễn hình học,Nhân bản,47,Số nguyên,"Trên mặt phẳng tọa độ, biết $(-6;-9)$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $-9$.
B. $6$.
C. $9$.
D. $-6$.",D. $-6$.,"Ta có $(-6;-9)$ là điểm biểu diễn số phức $z=-6-9i$. Do đó, phần thực của $z$ là $-6$.",Đạt,
221,Dạng 2 - Biểu diễn hình học,Nhân bản,47,Số hữu tỉ,"Trên mặt phẳng tọa độ, biết $(- \dfrac{8}{3};- \dfrac{1}{2})$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $- \dfrac{1}{2}$.
B. $\dfrac{8}{3}$.
C. $\dfrac{1}{2}$.
D. $- \dfrac{8}{3}$.",D. $- \dfrac{8}{3}$.,"Ta có $(- \dfrac{8}{3};- \dfrac{1}{2})$ là điểm biểu diễn số phức $z=- \dfrac{8}{3}-\dfrac{1}{2}i$. Do đó, phần thực của $z$ là $- \dfrac{8}{3}$.",Đạt,
222,Dạng 2 - Biểu diễn hình học,Nhân bản,47,Số hữu tỉ,"Trên mặt phẳng tọa độ, biết $(\dfrac{5}{3};\dfrac{7}{2})$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $\dfrac{7}{2}$.
B. $- \dfrac{5}{3}$.
C. $- \dfrac{7}{2}$.
D. $\dfrac{5}{3}$.",D. $\dfrac{5}{3}$.,"Ta có $(\dfrac{5}{3};\dfrac{7}{2})$ là điểm biểu diễn số phức $z=\dfrac{5}{3}+\dfrac{7}{2}i$. Do đó, phần thực của $z$ là $\dfrac{5}{3}$.",Đạt,
223,Dạng 2 - Biểu diễn hình học,Nhân bản,47,Số hữu tỉ,"Trên mặt phẳng tọa độ, biết $(\dfrac{4}{3};\dfrac{7}{5})$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $\dfrac{7}{5}$.
B. $- \dfrac{4}{3}$.
C. $- \dfrac{7}{5}$.
D. $\dfrac{4}{3}$.",D. $\dfrac{4}{3}$.,"Ta có $(\dfrac{4}{3};\dfrac{7}{5})$ là điểm biểu diễn số phức $z=\dfrac{4}{3}+\dfrac{7}{5}i$. Do đó, phần thực của $z$ là $\dfrac{4}{3}$.",Đạt,
224,Dạng 2 - Biểu diễn hình học,Nhân bản,47,Số hữu tỉ,"Trên mặt phẳng tọa độ, biết $(- \dfrac{11}{3};\dfrac{11}{4})$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $\dfrac{11}{4}$.
B. $\dfrac{11}{3}$.
C. $- \dfrac{11}{4}$.
D. $- \dfrac{11}{3}$.",D. $- \dfrac{11}{3}$.,"Ta có $(- \dfrac{11}{3};\dfrac{11}{4})$ là điểm biểu diễn số phức $z=- \dfrac{11}{3}+\dfrac{11}{4}i$. Do đó, phần thực của $z$ là $- \dfrac{11}{3}$.",Đạt,
225,Dạng 2 - Biểu diễn hình học,Nhân bản,47,Số vô tỉ,"Trên mặt phẳng tọa độ, biết $(3;- 2 \sqrt{2})$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $- 2 \sqrt{2}$.
B. $-3$.
C. $2 \sqrt{2}$.
D. $3$.",D. $3$.,"Ta có $(3;- 2 \sqrt{2})$ là điểm biểu diễn số phức $z=3-2 \sqrt{2}i$. Do đó, phần thực của $z$ là $3$.",Đạt,
226,Dạng 2 - Biểu diễn hình học,Nhân bản,47,Số vô tỉ,"Trên mặt phẳng tọa độ, biết $(- 3 \sqrt{5};4 \sqrt{7})$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $4 \sqrt{7}$.
B. $3 \sqrt{5}$.
C. $- 4 \sqrt{7}$.
D. $- 3 \sqrt{5}$.",D. $- 3 \sqrt{5}$.,"Ta có $(- 3 \sqrt{5};4 \sqrt{7})$ là điểm biểu diễn số phức $z=- 3 \sqrt{5}+4 \sqrt{7}i$. Do đó, phần thực của $z$ là $- 3 \sqrt{5}$.",Đạt,
227,Dạng 2 - Biểu diễn hình học,Nhân bản,47,Số vô tỉ,"Trên mặt phẳng tọa độ, biết $(5;- \sqrt{2})$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $- \sqrt{2}$.
B. $-5$.
C. $\sqrt{2}$.
D. $5$.",D. $5$.,"Ta có $(5;- \sqrt{2})$ là điểm biểu diễn số phức $z=5-\sqrt{2}i$. Do đó, phần thực của $z$ là $5$.",Đạt,
228,Dạng 2 - Biểu diễn hình học,Nhân bản,47,Số vô tỉ,"Trên mặt phẳng tọa độ, biết $(2;\sqrt{6})$ là điểm biểu diễn số phức $z$. Phần thực của $z$ bằng

A. $\sqrt{6}$.
B. $-2$.
C. $- \sqrt{6}$.
D. $2$.",D. $2$.,"Ta có $(2;\sqrt{6})$ là điểm biểu diễn số phức $z=2+\sqrt{6}i$. Do đó, phần thực của $z$ là $2$.",Đạt,
229,Dạng 2 - Biểu diễn hình học,Nhân bản,51,Số nguyên,"Trong mặt phẳng tọa độ $Oxy$, điểm $(8;-8)$ là điểm biểu diễn của số phức nào sau đây?

A. $z_1=8+8i$.
B. $z_2=-8-8i$.
C. $z_3=-8+8i$.
D. $z_4=8-8i$.",D. $z_4=8-8i$.,Điểm $(8;-8)$ biểu diễn cho số phức $z_4=8-8i$.,Đạt,
230,Dạng 2 - Biểu diễn hình học,Nhân bản,51,Số nguyên,"Trong mặt phẳng tọa độ $Oxy$, điểm $(8;-6)$ là điểm biểu diễn của số phức nào sau đây?

A. $z_1=8+6i$.
B. $z_2=-8-6i$.
C. $z_3=-8+6i$.
D. $z_4=8-6i$.",D. $z_4=8-6i$.,Điểm $(8;-6)$ biểu diễn cho số phức $z_4=8-6i$.,Đạt,
231,Dạng 2 - Biểu diễn hình học,Nhân bản,51,Số nguyên,"Trong mặt phẳng tọa độ $Oxy$, điểm $(6;-9)$ là điểm biểu diễn của số phức nào sau đây?

A. $z_1=6+9i$.
B. $z_2=-6-9i$.
C. $z_3=-6+9i$.
D. $z_4=6-9i$.",D. $z_4=6-9i$.,Điểm $(6;-9)$ biểu diễn cho số phức $z_4=6-9i$.,Đạt,
232,Dạng 2 - Biểu diễn hình học,Nhân bản,51,Số nguyên,"Trong mặt phẳng tọa độ $Oxy$, điểm $(-4;2)$ là điểm biểu diễn của số phức nào sau đây?

A. $z_1=-4-2i$.
B. $z_2=4+2i$.
C. $z_3=4-2i$.
D. $z_4=-4+2i$.",D. $z_4=-4+2i$.,Điểm $(-4;2)$ biểu diễn cho số phức $z_4=-4+2i$.,Đạt,
233,Dạng 2 - Biểu diễn hình học,Nhân bản,51,Số hữu tỉ,"Trong mặt phẳng tọa độ $Oxy$, điểm $(\dfrac{1}{3};\dfrac{9}{2})$ là điểm biểu diễn của số phức nào sau đây?

A. $z_1=\dfrac{1}{3}-\dfrac{9}{2}i$.
B. $z_2=- \dfrac{1}{3}+\dfrac{9}{2}i$.
C. $z_3=- \dfrac{1}{3}-\dfrac{9}{2}i$.
D. $z_4=\dfrac{1}{3}+\dfrac{9}{2}i$.",D. $z_4=\dfrac{1}{3}+\dfrac{9}{2}i$.,Điểm $(\dfrac{1}{3};\dfrac{9}{2})$ biểu diễn cho số phức $z_4=\dfrac{1}{3}+\dfrac{9}{2}i$.,Đạt,
234,Dạng 2 - Biểu diễn hình học,Nhân bản,51,Số hữu tỉ,"Trong mặt phẳng tọa độ $Oxy$, điểm $(\dfrac{6}{5};- \dfrac{8}{3})$ là điểm biểu diễn của số phức nào sau đây?

A. $z_1=\dfrac{6}{5}+\dfrac{8}{3}i$.
B. $z_2=- \dfrac{6}{5}-\dfrac{8}{3}i$.
C. $z_3=- \dfrac{6}{5}+\dfrac{8}{3}i$.
D. $z_4=\dfrac{6}{5}-\dfrac{8}{3}i$.",D. $z_4=\dfrac{6}{5}-\dfrac{8}{3}i$.,Điểm $(\dfrac{6}{5};- \dfrac{8}{3})$ biểu diễn cho số phức $z_4=\dfrac{6}{5}-\dfrac{8}{3}i$.,Đạt,
235,Dạng 2 - Biểu diễn hình học,Nhân bản,51,Số hữu tỉ,"Trong mặt phẳng tọa độ $Oxy$, điểm $(\dfrac{5}{2};\dfrac{2}{3})$ là điểm biểu diễn của số phức nào sau đây?

A. $z_1=\dfrac{5}{2}-\dfrac{2}{3}i$.
B. $z_2=- \dfrac{5}{2}+\dfrac{2}{3}i$.
C. $z_3=- \dfrac{5}{2}-\dfrac{2}{3}i$.
D. $z_4=\dfrac{5}{2}+\dfrac{2}{3}i$.",D. $z_4=\dfrac{5}{2}+\dfrac{2}{3}i$.,Điểm $(\dfrac{5}{2};\dfrac{2}{3})$ biểu diễn cho số phức $z_4=\dfrac{5}{2}+\dfrac{2}{3}i$.,Đạt,
236,Dạng 2 - Biểu diễn hình học,Nhân bản,51,Số hữu tỉ,"Trong mặt phẳng tọa độ $Oxy$, điểm $(\dfrac{2}{3};- \dfrac{7}{2})$ là điểm biểu diễn của số phức nào sau đây?

A. $z_1=\dfrac{2}{3}+\dfrac{7}{2}i$.
B. $z_2=- \dfrac{2}{3}-\dfrac{7}{2}i$.
C. $z_3=- \dfrac{2}{3}+\dfrac{7}{2}i$.
D. $z_4=\dfrac{2}{3}-\dfrac{7}{2}i$.",D. $z_4=\dfrac{2}{3}-\dfrac{7}{2}i$.,Điểm $(\dfrac{2}{3};- \dfrac{7}{2})$ biểu diễn cho số phức $z_4=\dfrac{2}{3}-\dfrac{7}{2}i$.,Đạt,
237,Dạng 2 - Biểu diễn hình học,Nhân bản,51,Số vô tỉ,"Trong mặt phẳng tọa độ $Oxy$, điểm $(1;\sqrt{2})$ là điểm biểu diễn của số phức nào sau đây?

A. $z_1=1-\sqrt{2}i$.
B. $z_2=-1+\sqrt{2}i$.
C. $z_3=-1-\sqrt{2}i$.
D. $z_4=1+\sqrt{2}i$.",D. $z_4=1+\sqrt{2}i$.,Điểm $(1;\sqrt{2})$ biểu diễn cho số phức $z_4=1+\sqrt{2}i$.,Đạt,
238,Dạng 2 - Biểu diễn hình học,Nhân bản,51,Số vô tỉ,"Trong mặt phẳng tọa độ $Oxy$, điểm $(-6;\sqrt{10})$ là điểm biểu diễn của số phức nào sau đây?

A. $z_1=-6-\sqrt{10}i$.
B. $z_2=6+\sqrt{10}i$.
C. $z_3=6-\sqrt{10}i$.
D. $z_4=-6+\sqrt{10}i$.",D. $z_4=-6+\sqrt{10}i$.,Điểm $(-6;\sqrt{10})$ biểu diễn cho số phức $z_4=-6+\sqrt{10}i$.,Đạt,
239,Dạng 2 - Biểu diễn hình học,Nhân bản,51,Số vô tỉ,"Trong mặt phẳng tọa độ $Oxy$, điểm $(- 2 \sqrt{5};- \sqrt{3})$ là điểm biểu diễn của số phức nào sau đây?

A. $z_1=- 2 \sqrt{5}+\sqrt{3}i$.
B. $z_2=2 \sqrt{5}-\sqrt{3}i$.
C. $z_3=2 \sqrt{5}+\sqrt{3}i$.
D. $z_4=- 2 \sqrt{5}-\sqrt{3}i$.",D. $z_4=- 2 \sqrt{5}-\sqrt{3}i$.,Điểm $(- 2 \sqrt{5};- \sqrt{3})$ biểu diễn cho số phức $z_4=- 2 \sqrt{5}-\sqrt{3}i$.,Đạt,
240,Dạng 2 - Biểu diễn hình học,Nhân bản,51,Số vô tỉ,"Trong mặt phẳng tọa độ $Oxy$, điểm $(2 \sqrt{2};4 \sqrt{2})$ là điểm biểu diễn của số phức nào sau đây?

A. $z_1=2 \sqrt{2}-4 \sqrt{2}i$.
B. $z_2=- 2 \sqrt{2}+4 \sqrt{2}i$.
C. $z_3=- 2 \sqrt{2}-4 \sqrt{2}i$.
D. $z_4=2 \sqrt{2}+4 \sqrt{2}i$.",D. $z_4=2 \sqrt{2}+4 \sqrt{2}i$.,Điểm $(2 \sqrt{2};4 \sqrt{2})$ biểu diễn cho số phức $z_4=2 \sqrt{2}+4 \sqrt{2}i$.,Đạt,
241,Dạng 2 - Biểu diễn hình học,Nhân bản,17,Số nguyên,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z = (8+7i)^2$ là điểm nào dưới đây?

A. $P(112;15)$.
B. $Q(15;112)$.
C. $N(15;-112)$.
D. $M(-15;112)$.",B. $Q(15;112)$.,"Ta có: $z = (8+7i)^2 = 15+112i$.
Vậy, điểm biểu diễn số phức $z$ là $Q(15;112)$.",Đạt,
242,Dạng 2 - Biểu diễn hình học,Nhân bản,17,Số nguyên,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z = (7-3i)^2$ là điểm nào dưới đây?

A. $P(-42;40)$.
B. $Q(40;-42)$.
C. $N(40;42)$.
D. $M(-40;-42)$.",B. $Q(40;-42)$.,"Ta có: $z = (7-3i)^2 = 40-42i$.
Vậy, điểm biểu diễn số phức $z$ là $Q(40;-42)$.",Đạt,
243,Dạng 2 - Biểu diễn hình học,Nhân bản,17,Số nguyên,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z = (-2-3i)^2$ là điểm nào dưới đây?

A. $P(12;-5)$.
B. $Q(-5;12)$.
C. $N(-5;-12)$.
D. $M(5;12)$.",B. $Q(-5;12)$.,"Ta có: $z = (-2-3i)^2 = -5+12i$.
Vậy, điểm biểu diễn số phức $z$ là $Q(-5;12)$.",Đạt,
244,Dạng 2 - Biểu diễn hình học,Nhân bản,17,Số nguyên,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z = (4+3i)^2$ là điểm nào dưới đây?

A. $P(24;7)$.
B. $Q(7;24)$.
C. $N(7;-24)$.
D. $M(-7;24)$.",B. $Q(7;24)$.,"Ta có: $z = (4+3i)^2 = 7+24i$.
Vậy, điểm biểu diễn số phức $z$ là $Q(7;24)$.",Đạt,
245,Dạng 2 - Biểu diễn hình học,Nhân bản,17,Số hữu tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z = (- \dfrac{9}{5}-\dfrac{1}{2}i)^2$ là điểm nào dưới đây?

A. $P(\dfrac{9}{5};\dfrac{299}{100})$.
B. $Q(\dfrac{299}{100};\dfrac{9}{5})$.
C. $N(\dfrac{299}{100};- \dfrac{9}{5})$.
D. $M(- \dfrac{299}{100};\dfrac{9}{5})$.",B. $Q(\dfrac{299}{100};\dfrac{9}{5})$.,"Ta có: $z = (- \dfrac{9}{5}-\dfrac{1}{2}i)^2 = \dfrac{299}{100}+\dfrac{9}{5}i$.
Vậy, điểm biểu diễn số phức $z$ là $Q(\dfrac{299}{100};\dfrac{9}{5})$.",Đạt,
246,Dạng 2 - Biểu diễn hình học,Nhân bản,17,Số hữu tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z = (\dfrac{11}{2}+\dfrac{1}{3}i)^2$ là điểm nào dưới đây?

A. $P(\dfrac{11}{3};\dfrac{1085}{36})$.
B. $Q(\dfrac{1085}{36};\dfrac{11}{3})$.
C. $N(\dfrac{1085}{36};- \dfrac{11}{3})$.
D. $M(- \dfrac{1085}{36};\dfrac{11}{3})$.",B. $Q(\dfrac{1085}{36};\dfrac{11}{3})$.,"Ta có: $z = (\dfrac{11}{2}+\dfrac{1}{3}i)^2 = \dfrac{1085}{36}+\dfrac{11}{3}i$.
Vậy, điểm biểu diễn số phức $z$ là $Q(\dfrac{1085}{36};\dfrac{11}{3})$.",Đạt,
247,Dạng 2 - Biểu diễn hình học,Nhân bản,17,Số hữu tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z = (- \dfrac{11}{2}+\dfrac{1}{2}i)^2$ là điểm nào dưới đây?

A. $P(- \dfrac{11}{2};30)$.
B. $Q(30;- \dfrac{11}{2})$.
C. $N(30;\dfrac{11}{2})$.
D. $M(-30;- \dfrac{11}{2})$.",B. $Q(30;- \dfrac{11}{2})$.,"Ta có: $z = (- \dfrac{11}{2}+\dfrac{1}{2}i)^2 = 30-\dfrac{11}{2}i$.
Vậy, điểm biểu diễn số phức $z$ là $Q(30;- \dfrac{11}{2})$.",Đạt,
248,Dạng 2 - Biểu diễn hình học,Nhân bản,17,Số hữu tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z = (- \dfrac{11}{5}-\dfrac{1}{5}i)^2$ là điểm nào dưới đây?

A. $P(\dfrac{22}{25};\dfrac{24}{5})$.
B. $Q(\dfrac{24}{5};\dfrac{22}{25})$.
C. $N(\dfrac{24}{5};- \dfrac{22}{25})$.
D. $M(- \dfrac{24}{5};\dfrac{22}{25})$.",B. $Q(\dfrac{24}{5};\dfrac{22}{25})$.,"Ta có: $z = (- \dfrac{11}{5}-\dfrac{1}{5}i)^2 = \dfrac{24}{5}+\dfrac{22}{25}i$.
Vậy, điểm biểu diễn số phức $z$ là $Q(\dfrac{24}{5};\dfrac{22}{25})$.",Đạt,
249,Dạng 2 - Biểu diễn hình học,Nhân bản,17,Số vô tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z = (3 \sqrt{6}-5i)^2$ là điểm nào dưới đây?

A. $P(- 30 \sqrt{6};29)$.
B. $Q(29;- 30 \sqrt{6})$.
C. $N(29;30 \sqrt{6})$.
D. $M(-29;- 30 \sqrt{6})$.",B. $Q(29;- 30 \sqrt{6})$.,"Ta có: $z = (3 \sqrt{6}-5i)^2 = 29-30 \sqrt{6}i$.
Vậy, điểm biểu diễn số phức $z$ là $Q(29;- 30 \sqrt{6})$.",Đạt,
250,Dạng 2 - Biểu diễn hình học,Nhân bản,17,Số vô tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z = (3 \sqrt{3}+4 \sqrt{11}i)^2$ là điểm nào dưới đây?

A. $P(24 \sqrt{33};-149)$.
B. $Q(-149;24 \sqrt{33})$.
C. $N(-149;- 24 \sqrt{33})$.
D. $M(149;24 \sqrt{33})$.",B. $Q(-149;24 \sqrt{33})$.,"Ta có: $z = (3 \sqrt{3}+4 \sqrt{11}i)^2 = -149+24 \sqrt{33}i$.
Vậy, điểm biểu diễn số phức $z$ là $Q(-149;24 \sqrt{33})$.",Đạt,
251,Dạng 2 - Biểu diễn hình học,Nhân bản,17,Số vô tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z = (4 \sqrt{5}+5i)^2$ là điểm nào dưới đây?

A. $P(40 \sqrt{5};55)$.
B. $Q(55;40 \sqrt{5})$.
C. $N(55;- 40 \sqrt{5})$.
D. $M(-55;40 \sqrt{5})$.",B. $Q(55;40 \sqrt{5})$.,"Ta có: $z = (4 \sqrt{5}+5i)^2 = 55+40 \sqrt{5}i$.
Vậy, điểm biểu diễn số phức $z$ là $Q(55;40 \sqrt{5})$.",Đạt,
252,Dạng 2 - Biểu diễn hình học,Nhân bản,17,Số vô tỉ,"Trên mặt phẳng tọa độ, điểm biểu diễn số phức $z = (3 \sqrt{3}-3 \sqrt{11}i)^2$ là điểm nào dưới đây?

A. $P(- 18 \sqrt{33};-72)$.
B. $Q(-72;- 18 \sqrt{33})$.
C. $N(-72;18 \sqrt{33})$.
D. $M(72;- 18 \sqrt{33})$.",B. $Q(-72;- 18 \sqrt{33})$.,"Ta có: $z = (3 \sqrt{3}-3 \sqrt{11}i)^2 = -72-18 \sqrt{33}i$.
Vậy, điểm biểu diễn số phức $z$ là $Q(-72;- 18 \sqrt{33})$.",Đạt,
253,Dạng 2 - Biểu diễn hình học,Nhân bản,37,Số nguyên,"Cho số phức $z=6-i$. Điểm nào dưới đây là điểm biểu diễn của số phức $w=iz$ trên mặt phẳng tọa độ?

A. $Q(6;1)$.
B. $N(1;6)$.
C. $M(6;-1)$.
D. $P(-6;1)$.",B. $N(1;6)$.,$w=iz=1+6i$. Điểm biểu diễn số phức $w$ là $N(1;6)$.,Đạt,
